x,y,z,U_0,U_1,U_2
0,0,0,0.300006,-0.000123398,0
0,0.1,0,0.300004,-7.40387e-05,0
0,0.2,0,0.300001,-2.46796e-05,0
0,0.3,0,0.3,0,0
0,0.4,0,0.3,0,0
0,0.5,0,0.3,0,0
0,0.6,0,0.3,0,0
0,0.7,0,0.3,0,0
0,0.8,0,0.3,0,0
0,0.9,0,0.3,0,0
0,1,0,0.3,0,0
0,1.1,0,0.3,0,0
0,1.2,0,0.3,0,0
0,1.3,0,0.3,0,0
0,1.4,0,0.3,0,0
0,1.5,0,0.3,0,0
0,1.6,0,0.3,0,0
0,1.7,0,0.3,0,0
0,1.8,0,0.3,0,0
0,1.9,0,0.3,0,0
0,2,0,0.3,0,0
0,2.1,0,0.3,0,0
0,2.2,0,0.3,0,0
0,2.3,0,0.3,0,0
0,2.4,0,0.3,0,0
0,2.5,0,0.3,0,0
0,2.6,0,0.3,0,0
0,2.7,0,0.3,0,0
0,2.8,0,0.3,0,0
0,2.9,0,0.3,0,0
0,3,0,0.3,0,0
0,3.1,0,0.3,0,0
0,3.2,0,0.3,0,0
0,3.3,0,0.3,0,0
0,3.4,0,0.3,0,0
0,3.5,0,0.3,0,0
0,3.6,0,0.3,0,0
0,3.7,0,0.3,0,0
0,3.8,0,0.3,0,0
0,3.9,0,0.3,0,0
0,4,0,0.3,0,0
0,4.1,0,0.3,0,0
0,4.2,0,0.3,0,0
0,4.3,0,0.3,0,0
0,4.4,0,0.3,0,0
0,4.5,0,0.3,0,0
0,4.6,0,0.3,0,0
0,4.7,0,0.3,0,0
0,4.8,0,0.3,0,0
0,4.9,0,0.3,0,0
0,5,0,0.3,0,0
0,5.1,0,0.3,0,0
0,5.2,0,0.3,0,0
0,5.3,0,0.3,0,0
0,5.4,0,0.3,0,0
0,5.5,0,0.3,0,0
0,5.6,0,0.3,0,0
0,5.7,0,0.3,0,0
0,5.8,0,0.3,0,0
0,5.9,0,0.3,0,0
0,6,0,0.3,0,0
0,6.1,0,0.3,0,0
0,6.2,0,0.3,0,0
0,6.3,0,0.3,0,0
0,6.4,0,0.3,0,0
0,6.5,0,0.3,0,0
0,6.6,0,0.3,0,0
0,6.7,0,0.3,0,0
0,6.8,0,0.3,0,0
0,6.9,0,0.3,0,0
0,7,0,0.3,0,0
0,7.1,0,0.3,0,0
0,7.2,0,0.3,0,0
0,7.3,0,0.3,0,0
0,7.4,0,0.3,0,0
0,7.5,0,0.3,0,0
0,7.6,0,0.3,0,0
0,7.7,0,0.3,0,0
0,7.8,0,0.3,0,0
0,7.9,0,0.3,0,0
0,8,0,0.3,0,0
0,8.1,0,0.3,0,0
0,8.2,0,0.3,0,0
0,8.3,0,0.3,0,0
0,8.4,0,0.3,0,0
0,8.5,0,0.3,0,0
0,8.6,0,0.3,0,0
0,8.7,0,0.3,0,0
0,8.8,0,0.3,0,0
0,8.9,0,0.3,0,0
0,9,0,0.3,0,0
0,9.1,0,0.3,0,0
0,9.2,0,0.3,0,0
0,9.3,0,0.3,0,0
0,9.4,0,0.3,0,0
0,9.5,0,0.3,0,0
0,9.6,0,0.3,0,0
0,9.7,0,0.3,0,0
0,9.8,0,0.3,0,0
0,9.9,0,0.3,0,0
0,10,0,0.3,0,0
0,10.1,0,0.3,0,0
0,10.2,0,0.3,0,0
0,10.3,0,0.3,0,0
0,10.4,0,0.3,0,0
0,10.5,0,0.3,0,0
0,10.6,0,0.3,0,0
0,10.7,0,0.3,0,0
0,10.8,0,0.3,0,0
0,10.9,0,0.3,0,0
0,11,0,0.3,0,0
0,11.1,0,0.3,0,0
0,11.2,0,0.3,0,0
0,11.3,0,0.3,0,0
0,11.4,0,0.3,0,0
0,11.5,0,0.3,0,0
0,11.6,0,0.3,0,0
0,11.7,0,0.3,0,0
0,11.8,0,0.3,0,0
0,11.9,0,0.3,0,0
0,12,0,0.3,0,0
0,12.1,0,0.3,0,0
0,12.2,0,0.3,0,0
0,12.3,0,0.3,0,0
0,12.4,0,0.3,0,0
0,12.5,0,0.300006,-2.91256e-05,0
0,12.6,0,0.300014,-6.33911e-05,0
0,12.7,0,0.300021,-9.76565e-05,0
0.1,0,0,0.300006,-0.000160533,0
0.1,0.1,0,0.300006,-0.000121791,0
0.1,0.2,0,0.300004,-7.24314e-05,0
0.1,0.3,0,0.300004,-6.08387e-05,0
0.1,0.4,0,0.300004,-6.08387e-05,0
0.1,0.5,0,0.3,-4.96709e-05,0
0.1,0.6,0,0.300004,-6.09941e-05,0
0.1,0.7,0,0.300004,-6.09941e-05,0
0.1,0.8,0,0.300005,-6.12425e-05,0
0.1,0.9,0,0.300005,-6.12425e-05,0
0.1,1,0,0.299999,-4.83467e-05,0
0.1,1.1,0,0.300005,-6.15945e-05,0
0.1,1.2,0,0.300005,-6.15945e-05,0
0.1,1.3,0,0.300005,-6.20537e-05,0
0.1,1.4,0,0.300005,-6.20537e-05,0
0.1,1.5,0,0.299999,-4.61706e-05,0
0.1,1.6,0,0.300004,-6.26318e-05,0
0.1,1.7,0,0.300004,-6.26318e-05,0
0.1,1.8,0,0.300003,-6.33535e-05,0
0.1,1.9,0,0.300003,-6.33535e-05,0
0.1,2,0,0.299999,-4.3169e-05,0
0.1,2.1,0,0.3,-6.42552e-05,0
0.1,2.2,0,0.3,-6.42552e-05,0
0.1,2.3,0,0.299997,-6.53853e-05,0
0.1,2.4,0,0.299997,-6.53853e-05,0
0.1,2.5,0,0.3,-3.93603e-05,0
0.1,2.6,0,0.299992,-6.68006e-05,0
0.1,2.7,0,0.299992,-6.68006e-05,0
0.1,2.8,0,0.299987,-6.85589e-05,0
0.1,2.9,0,0.299987,-6.85589e-05,0
0.1,3,0,0.3,-3.47518e-05,0
0.1,3.1,0,0.29998,-7.07093e-05,0
0.1,3.2,0,0.29998,-7.07093e-05,0
0.1,3.3,0,0.299974,-7.32779e-05,0
