x,y,z,U_0,U_1,U_2
0,0,0,0.3,-0.000596571,0
0,0.1,0,0.3,-0.000357943,0
0,0.2,0,0.3,-0.000119314,0
0,0.3,0,0.3,0,0
0,0.4,0,0.3,0,0
0,0.5,0,0.3,0,0
0,0.6,0,0.3,0,0
0,0.7,0,0.3,0,0
0,0.8,0,0.3,0,0
0,0.9,0,0.3,0,0
0,1,0,0.3,0,0
0,1.1,0,0.3,0,0
0,1.2,0,0.3,0,0
0,1.3,0,0.3,0,0
0,1.4,0,0.3,0,0
0,1.5,0,0.3,0,0
0,1.6,0,0.3,0,0
0,1.7,0,0.3,0,0
0,1.8,0,0.3,0,0
0,1.9,0,0.3,0,0
0,2,0,0.3,0,0
0,2.1,0,0.3,0,0
0,2.2,0,0.3,0,0
0,2.3,0,0.3,0,0
0,2.4,0,0.3,0,0
0,2.5,0,0.3,0,0
0,2.6,0,0.3,0,0
0,2.7,0,0.3,0,0
0,2.8,0,0.3,0,0
0,2.9,0,0.3,0,0
0,3,0,0.3,0,0
0,3.1,0,0.3,0,0
0,3.2,0,0.3,0,0
0,3.3,0,0.3,0,0
0,3.4,0,0.3,0,0
0,3.5,0,0.3,0,0
0,3.6,0,0.3,0,0
0,3.7,0,0.3,0,0
0,3.8,0,0.3,0,0
0,3.9,0,0.3,0,0
0,4,0,0.3,0,0
0,4.1,0,0.3,0,0
0,4.2,0,0.3,0,0
0,4.3,0,0.3,0,0
0,4.4,0,0.3,0,0
0,4.5,0,0.3,0,0
0,4.6,0,0.3,0,0
0,4.7,0,0.3,0,0
0,4.8,0,0.3,0,0
0,4.9,0,0.3,0,0
0,5,0,0.3,0,0
0,5.1,0,0.3,0,0
0,5.2,0,0.3,0,0
0,5.3,0,0.3,0,0
0,5.4,0,0.3,0,0
0,5.5,0,0.3,0,0
0,5.6,0,0.3,0,0
0,5.7,0,0.3,0,0
0,5.8,0,0.3,0,0
0,5.9,0,0.3,0,0
0,6,0,0.3,0,0
0,6.1,0,0.3,0,0
0,6.2,0,0.3,0,0
0,6.3,0,0.3,0,0
0,6.4,0,0.3,0,0
0,6.5,0,0.3,0,0
0,6.6,0,0.3,0,0
0,6.7,0,0.3,0,0
0,6.8,0,0.3,0,0
0,6.9,0,0.3,0,0
0,7,0,0.3,0,0
0,7.1,0,0.3,0,0
0,7.2,0,0.3,0,0
0,7.3,0,0.3,0,0
0,7.4,0,0.3,0,0
0,7.5,0,0.3,0,0
0,7.6,0,0.3,0,0
0,7.7,0,0.3,0,0
0,7.8,0,0.3,0,0
0,7.9,0,0.3,0,0
0,8,0,0.3,0,0
0,8.1,0,0.3,0,0
0,8.2,0,0.3,0,0
0,8.3,0,0.3,0,0
0,8.4,0,0.3,0,0
0,8.5,0,0.3,0,0
0,8.6,0,0.3,0,0
0,8.7,0,0.3,0,0
0,8.8,0,0.3,0,0
0,8.9,0,0.3,0,0
0,9,0,0.3,0,0
0,9.1,0,0.3,0,0
0,9.2,0,0.3,0,0
0,9.3,0,0.3,0,0
0,9.4,0,0.3,0,0
0,9.5,0,0.3,0,0
0,9.6,0,0.3,0,0
0,9.7,0,0.3,0,0
0,9.8,0,0.3,0,0
0,9.9,0,0.3,0,0
0,10,0,0.3,0,0
0,10.1,0,0.3,0,0
0,10.2,0,0.3,0,0
0,10.3,0,0.3,0,0
0,10.4,0,0.3,0,0
0,10.5,0,0.3,0,0
0,10.6,0,0.3,0,0
0,10.7,0,0.3,0,0
0,10.8,0,0.3,0,0
0,10.9,0,0.3,0,0
0,11,0,0.3,0,0
0,11.1,0,0.3,0,0
0,11.2,0,0.3,0,0
0,11.3,0,0.3,0,0
0,11.4,0,0.3,0,0
0,11.5,0,0.3,0,0
0,11.6,0,0.3,0,0
0,11.7,0,0.3,0,0
0,11.8,0,0.3,0,0
0,11.9,0,0.3,0,0
0,12,0,0.3,0,0
0,12.1,0,0.3,0,0
0,12.2,0,0.3,0,0
0,12.3,0,0.3,0,0
0,12.4,0,0.3,0,0
0,12.5,0,0.3,0.000162223,0
0,12.6,0,0.3,0.000353073,0
0,12.7,0,0.3,0.000543923,0
0.1,0,0,0.299999,-0.00101277,0
0.1,0.1,0,0.3,-0.000772585,0
0.1,0.2,0,0.3,-0.000547268,0
0.1,0.3,0,0.299999,-0.000545496,0
0.1,0.4,0,0.3,-0.000545244,0
0.1,0.5,0,0.299996,-0.000544771,0
0.1,0.6,0,0.3,-0.000541276,0
0.1,0.7,0,0.299999,-0.000541132,0
0.1,0.8,0,0.299999,-0.000535776,0
0.1,0.9,0,0.299999,-0.000535324,0
0.1,1,0,0.299993,-0.000532968,0
0.1,1.1,0,0.299999,-0.000527427,0
0.1,1.2,0,0.299998,-0.000527101,0
0.1,1.3,0,0.299998,-0.000518237,0
0.1,1.4,0,0.299999,-0.000517578,0
0.1,1.5,0,0.299989,-0.000513447,0
0.1,1.6,0,0.299999,-0.000505773,0
0.1,1.7,0,0.299998,-0.000505274,0
0.1,1.8,0,0.299997,-0.000492878,0
0.1,1.9,0,0.299998,-0.000492,0
0.1,2,0,0.299985,-0.000486166,0
0.1,2.1,0,0.299998,-0.000476276,0
0.1,2.2,0,0.299997,-0.000475609,0
0.1,2.3,0,0.299996,-0.000459705,0
0.1,2.4,0,0.299998,-0.000458604,0
0.1,2.5,0,0.299982,-0.000451101,0
0.1,2.6,0,0.299997,-0.000439036,0
0.1,2.7,0,0.299996,-0.000438199,0
0.1,2.8,0,0.299995,-0.000418935,0
0.1,2.9,0,0.299997,-0.000417632,0
0.1,3,0,0.299978,-0.000408316,0
0.1,3.1,0,0.299996,-0.000394493,0
0.1,3.2,0,0.299994,-0.000393453,0
0.1,3.3,0,0.299994,-0.00037119,0
