x,y,z,U_0,U_1,U_2
0,0,0,2.99299,0.00377209,0
0,0.1,0,2.99579,0.00226325,0
0,0.2,0,2.9986,0.000754417,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,3,0,0
0,12.5,0,2.99918,-0.000854981,0
0,12.6,0,2.99822,-0.00186084,0
0,12.7,0,2.99725,-0.0028667,0
0.1,0,0,2.99443,0.00224484,0
0.1,0.1,0,2.99259,0.00398602,0
0.1,0.2,0,2.9954,0.00247718,0
0.1,0.3,0,2.99533,0.00167833,0
0.1,0.4,0,2.99533,0.00167833,0
0.1,0.5,0,3.00065,-0.00113804,0
0.1,0.6,0,2.99536,0.00129618,0
0.1,0.7,0,2.99536,0.00129618,0
0.1,0.8,0,2.99558,0.000728523,0
0.1,0.9,0,2.99558,0.000728523,0
0.1,1,0,3.00062,-0.00117428,0
0.1,1.1,0,2.9959,0.000232767,0
0.1,1.2,0,2.9959,0.000232767,0
0.1,1.3,0,2.99628,-0.000257579,0
0.1,1.4,0,2.99628,-0.000257579,0
0.1,1.5,0,3.00037,-0.00112476,0
0.1,1.6,0,2.9969,-0.000686059,0
0.1,1.7,0,2.9969,-0.000686059,0
0.1,1.8,0,2.99793,-0.00106794,0
0.1,1.9,0,2.99793,-0.00106794,0
0.1,2,0,3.0001,-0.00106383,0
0.1,2.1,0,2.99983,-0.00145553,0
0.1,2.2,0,2.99983,-0.00145553,0
0.1,2.3,0,3.00241,-0.00174349,0
0.1,2.4,0,3.00241,-0.00174349,0
0.1,2.5,0,2.99956,-0.000973611,0
0.1,2.6,0,3.00515,-0.00186421,0
0.1,2.7,0,3.00515,-0.00186421,0
