x,y,z,U_0,U_1,U_2
0,0,0,1.5,0,0
0,0.1,0,2.1,0,0
0,0.2,0,2.7,0,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,2.82294,0,0
0,12.5,0,2.31704,0,0
0,12.6,0,1.81115,0,0
0,12.7,0,1.30525,0,0
0.1,0,0,0.9,0,0
0.1,0.1,0,2.10951,0.0140896,-1.5e-08
0.1,0.2,0,2.70951,0.0140896,-1.5e-08
0.1,0.3,0,3.01472,0.0125425,-2.25e-08
0.1,0.4,0,3.01993,0.0109954,-3e-08
0.1,0.5,0,3.01993,0.0109954,-3e-08
0.1,0.6,0,3.01879,0.00576509,-4e-08
0.1,0.7,0,3.01879,0.00576509,-4e-08
0.1,0.8,0,3.01842,0.00483621,-2e-08
0.1,0.9,0,3.01805,0.00390734,1.73472e-19
0.1,1,0,3.01805,0.00390734,1.73472e-19
0.1,1.1,0,3.01768,0.00210681,-4.5e-08
0.1,1.2,0,3.01768,0.00210681,-4.5e-08
0.1,1.3,0,3.01759,0.00155203,9e-08
0.1,1.4,0,3.0175,0.000997255,2.25e-07
0.1,1.5,0,3.0175,0.000997255,2.25e-07
0.1,1.6,0,3.01738,0.00010677,-1.2e-07
0.1,1.7,0,3.01738,0.00010677,-1.2e-07
0.1,1.8,0,3.01733,-0.000232425,4.25e-08
0.1,1.9,0,3.01728,-0.000571621,2.05e-07
0.1,2,0,3.01728,-0.000571621,2.05e-07
0.1,2.1,0,3.01717,-0.0010962,3.55e-07
0.1,2.2,0,3.01717,-0.0010962,3.55e-07
0.1,2.3,0,3.01709,-0.00129442,1.3e-07
0.1,2.4,0,3.01702,-0.00149265,-9.5e-08
0.1,2.5,0,3.01702,-0.00149265,-9.5e-08
0.1,2.6,0,3.01679,-0.00176727,1.35e-07
0.1,2.7,0,3.01679,-0.00176727,1.35e-07
0.1,2.8,0,3.01662,-0.00185989,6e-08
0.1,2.9,0,3.01645,-0.00195251,-1.5e-08
0.1,3,0,3.01645,-0.00195251,-1.5e-08
0.1,3.1,0,3.01598,-0.00210163,5e-09
0.1,3.2,0,3.01598,-0.00210163,5e-09
0.1,3.3,0,3.01569,-0.00219155,2.5e-09
0.1,3.4,0,3.0154,-0.00228146,-3.29597e-18
0.1,3.5,0,3.0154,-0.00228146,-3.29597e-18
0.1,3.6,0,3.01477,-0.00252973,-1e-08
0.1,3.7,0,3.01477,-0.00252973,-1e-08
0.1,3.8,0,3.01446,-0.00282647,-7.5e-09
0.1,3.9,0,3.01415,-0.00312321,-5e-09
0.1,4,0,3.01415,-0.00312321,-5e-09
0.1,4.1,0,3.01383,-0.00440471,1.73454e-19
0.1,4.2,0,3.01383,-0.00440471,1.73472e-19
0.1,4.3,0,3.01381,-0.00514476,-1.30104e-19
0.1,4.4,0,3.01379,-0.0058848,-4.33681e-19
0.1,4.5,0,3.01379,-0.0058848,-4.33681e-19
0.1,4.6,0,3.01319,-0.0069832,-1.73472e-19
0.1,4.7,0,3.01319,-0.0069832,-1.73472e-19
0.1,4.8,0,3.01457,-0.00603472,-8.67362e-20
0.1,4.9,0,3.01595,-0.00508624,0
0.1,5,0,3.01595,-0.00508624,0
0.1,5.1,0,3.02035,-0.00297255,-8.67362e-19
0.1,5.2,0,3.02316,-0.00233248,0
0.1,5.3,0,3.02465,-0.00158826,-5.20417e-19
0.1,5.4,0,3.02527,-0.00073007,5e-10
0.1,5.5,0,3.02544,0.000302118,5e-10
